iter	RMSE
175	0.1246247645
176	0.1245425362
177	0.1244865628
178	0.1243434797
179	0.1242190558
180	0.1241419285
181	0.1240349161
182	0.1239922071
183	0.1237736001
184	0.1235456299
185	0.1234600366
186	0.1233542587
187	0.1232417788
188	0.1230892903
189	0.1230242029
190	0.122998806
191	0.1228945604
192	0.1227809629
193	0.122601473
194	0.1224714988
195	0.1223447509
196	0.12230772
197	0.1222545333
198	0.1220560074
199	0.1219971286
200	0.121823354
201	0.1217289715
202	0.12161743
203	0.1214967216
204	0.1213336871
205	0.1211779212
206	0.1209896505
207	0.1208329207
208	0.1207032851
209	0.1206005864
210	0.1204669217
211	0.1203120135
212	0.1202759735
213	0.1200664645
214	0.1199704884
215	0.1198171935
216	0.1196385016
217	0.1195146365
218	0.1194461779
219	0.1192987761
220	0.119261601
221	0.1190959743
222	0.1188838462
223	0.1187837514
224	0.1186809399
225	0.1185327864
226	0.1185022543
227	0.1184014655
228	0.1183266022
229	0.1182022382
230	0.1180210627
231	0.1179742908
232	0.1177843699
233	0.1177008158
234	0.1175622854
235	0.1174563832
236	0.1173675613
237	0.1172078233
238	0.1171130271
239	0.116912159
240	0.116811812
241	0.1166875844
242	0.1165522702
243	0.1165093128
244	0.1163909456
245	0.1163702158
246	0.1162772465
247	0.1161773658
248	0.1160311233
249	0.1159192203
250	0.1158248785
251	0.1157806802
252	0.1156422281
253	0.1155211129
254	0.1154235905
255	0.1154070616
256	0.1153182501
257	0.1153027322
258	0.1151741723
259	0.1151265529
260	0.1149595975
261	0.1148643856
262	0.1147090456
263	0.1146365155
264	0.1145551257
265	0.1144080425
266	0.1142978464
267	0.1141951754
268	0.1139815444
269	0.1139675634
270	0.1138241629
271	0.1137978545
272	0.1137816419
273	0.1136501544
274	0.1135073612
275	0.1134861584
276	0.113412831
277	0.1132898764
278	0.1132120951
279	0.1130283772
280	0.1129178618
281	0.1128946193
282	0.1128087138
283	0.1127192424
284	0.1126379485
285	0.1125137165
286	0.1123845144
287	0.1122405497
288	0.1120816025
289	0.1119775918
290	0.111967859
291	0.1118637521
292	0.1117178796
293	0.1116289659
294	0.1115622903
295	0.111482543
296	0.11136863
297	0.1112920933
298	0.1112183435
299	0.1112059054
300	0.1111838774
301	0.1110462499
302	0.1110261149
303	0.1109933627
304	0.1109115098
305	0.1108102061
306	0.1107997278
307	0.1107207032
308	0.1106221917
309	0.1105063897
310	0.1104158419
311	0.1103565388
312	0.1102793868
313	0.1102714533
314	0.1101526235
315	0.1101292502
316	0.1100557987
317	0.1099408721
318	0.1098732269
319	0.1098400235
320	0.1097751055
321	0.1096679281
322	0.1095692884
323	0.1094999911
324	0.1094953124
325	0.1094898015
326	0.1094254811
327	0.10936006
328	0.1093011724
329	0.1092966293
330	0.1092305881
331	0.1091553155
332	0.1090866702
333	0.1089484542
334	0.1089438078
335	0.1088741378
336	0.1087733329
337	0.1086898695
338	0.1086036074
339	0.1085705665
340	0.1084629104
341	0.1083826116
342	0.1082597947
343	0.1082071664
344	0.1080657446
345	0.1079710017
346	0.1079101055
347	0.1078903804
348	0.1077807749
349	0.1077712495
350	0.10763809
351	0.1075785847
352	0.1075052327
353	0.10748813
354	0.1074017677
355	0.1073832305
356	0.1072615635
357	0.107193209
358	0.1071013084
359	0.1070323752
360	0.1069474616
361	0.106806576
362	0.1067347765
363	0.106625167
364	0.1066115503
365	0.1065440247
366	0.1064611604
367	0.106337849
368	0.1062783234
369	0.1061845391
370	0.1061202058
371	0.1060336114
372	0.1060162476
373	0.105961187
374	0.1058655443
375	0.1057510201
376	0.1057140154
377	0.1056670744
378	0.1055820617
379	0.105568297
380	0.105482783
381	0.1054303669
382	0.1053806165
383	0.1053317667
384	0.1052208266
385	0.1051683687
386	0.1050678886
387	0.1049886531
388	0.1049038808
389	0.104785685
390	0.1047023241
391	0.1046178024
392	0.1045538336
393	0.1045383041
394	0.1044247928
395	0.1043293677
396	0.1042570882
397	0.1041926195
398	0.104171804
399	0.1040830478
400	0.1040144378
401	0.1040042156
402	0.1039300081
403	0.1039138195
404	0.1038154558
405	0.1037244961
406	0.1036537867
407	0.1035612406
408	0.1034896722
409	0.1034055021
410	0.103288242
411	0.1032243253
412	0.1031106416
413	0.1030203204
414	0.1029776993
415	0.102888171
416	0.102801579
417	0.1027286986
418	0.1026365576
419	0.1026269783
420	0.102536249
421	0.1024711186
422	0.1023627615
423	0.1022747434
424	0.1022283363
425	0.1021397592
426	0.1020304743
427	0.1019271008
428	0.1018253835
429	0.1017450927
430	0.1016773538
431	0.1016172291
432	0.1016103853
433	0.1015717884
434	0.1015239642
435	0.1015192708
436	0.1014844604
437	0.1013651922
438	0.1012228379
439	0.1012198272
440	0.1011513339
441	0.1010814286
442	0.1010175967
443	0.1009539612
444	0.1008662395
445	0.1007845692
446	0.1006669983
447	0.100588959
448	0.1005102123
449	0.1004911671
450	0.1004589754
451	0.1003898207
452	0.1003864016
453	0.1003026467
454	0.1001810776
455	0.100082248
456	0.09999964838
457	0.09992489757
458	0.09991947127
459	0.09981219581
460	0.09976102294
461	0.09973326631
462	0.09962669867
463	0.09954265864
464	0.09945989386
465	0.09937045803
466	0.0992929329
467	0.09925274137
468	0.09919342836
469	0.09910722856
470	0.09907486232
471	0.09900823288
472	0.09900532789
473	0.09892624985
474	0.0988050477
475	0.09875568238
476	0.09875266422
477	0.09869804245
478	0.09860784528
479	0.09854613319
480	0.09847844239
481	0.09842347836
482	0.09831349337
483	0.0982305709
484	0.09817872767
485	0.09813790968
486	0.09807082287
487	0.09801573366
488	0.09797808532
489	0.09797581852
490	0.09791221812
491	0.09784397128
492	0.09778710237
493	0.09777402167
494	0.09776145484
495	0.09767884528
496	0.09756221261
497	0.0975359856
498	0.09747790131
499	0.09739499429
500	0.09735050614
501	0.09725726568
502	0.09717350318
503	0.09714574947
504	0.09713704863
505	0.09703124855
506	0.09700377163
507	0.09694024145
508	0.0968388386
509	0.09675929255
510	0.09671368977
511	0.09664905102
512	0.09657527005
513	0.09654370424
514	0.09648650499
515	0.09638566984
516	0.09632707198
517	0.09628942135
518	0.09622265277
519	0.09616255356
520	0.09609265422
521	0.09602543112
522	0.09594578757
523	0.0958919673
524	0.09584130336
525	0.09576731951
526	0.09571692654
527	0.09568257318
528	0.09567816667
529	0.09559090325
530	0.09550768332
531	0.09542026914
532	0.09537539381
533	0.09532271065
534	0.09531848638
535	0.09523560616
536	0.09516114733
537	0.09506781697
538	0.09501235456
539	0.09496047489
540	0.09489284154
541	0.09483407402
542	0.09480084212
543	0.09472786059
544	0.09468017954
545	0.09463410295
546	0.09453996042
547	0.09450688584
548	0.09443523483
549	0.09438360024
550	0.09437947375
551	0.09432555779
552	0.0943239858
553	0.09426499312
554	0.09421954073
555	0.09413417495
556	0.09407530455
557	0.09402111154
558	0.0939913561
559	0.09393980909
560	0.093920426
561	0.09387770419
562	0.09381916002
563	0.09377277006
564	0.09368295249
565	0.09363430753
566	0.0935802646
567	0.09350934376
568	0.09346031561
569	0.09345531239
570	0.09345330112
571	0.09339612477
572	0.09334552618
573	0.09329299116
574	0.09328976266
575	0.09326597103
576	0.09322316558
577	0.0931739513
578	0.09313641241
579	0.0930968772
580	0.09309408864
581	0.09308037601
582	0.0930462953
583	0.09299278835
584	0.09292750448
585	0.09290865208
586	0.09285612795
587	0.09277478903
588	0.09271560487
589	0.09263446854
590	0.09261356578
591	0.09258959592
592	0.09256459208
593	0.09248593776
594	0.09244053847
595	0.09243252637
596	0.09240265641
597	0.09236983707
598	0.09225607798
599	0.09220162686
600	0.0921888181
601	0.09217787807
602	0.09210360192
603	0.09208707874
604	0.09207532131
605	0.09201274039
606	0.09201080477
607	0.09194643141
608	0.09189170132
609	0.09185573789
610	0.09181323211
611	0.09177030791
612	0.0917532356
613	0.09171299321
614	0.09164813362
615	0.09157027642
616	0.09154752766
617	0.09150227152
618	0.09145051112
619	0.09139771244
620	0.09132077767
621	0.09122982658
622	0.09115048873
623	0.09109038242
624	0.09103175164
625	0.09097862845
626	0.09092982699
627	0.09092886224
628	0.09088884908
629	0.0908205623
630	0.09078083885
631	0.09074739349
632	0.09070508233
633	0.09065218403
634	0.09061426683
635	0.09054403918
636	0.09050714924
637	0.09043921403
638	0.09041617858
639	0.09040308361
640	0.0903992226
641	0.090355119
642	0.0903528196
643	0.09029975834
644	0.09026240966
645	0.09021571645
646	0.0901812437
647	0.0901463241
648	0.09010507221
649	0.09004717911
650	0.09004629332
651	0.09000777062
652	0.08998020287
653	0.08995913222
654	0.0899282741
655	0.08986517077
656	0.08982746008
657	0.08980900832
658	0.08974185233
659	0.08968336918
660	0.08963419019
661	0.08961683273
662	0.08957277848
663	0.08951591304
664	0.08945818536
665	0.08941636432
666	0.08936970853
667	0.08932834363
668	0.08928045822
669	0.08922614261
670	0.0892033513
671	0.08916666134
672	0.08910710425
673	0.08908265824
674	0.08905401042
675	0.08900568832
676	0.0889784788
677	0.08892718256
678	0.08890878317
679	0.08889234757
680	0.08886168946
681	0.0887838774
682	0.08873276448
683	0.08869584261
684	0.08864802189
685	0.08861097723
686	0.08859696713
687	0.08858972635
688	0.08853108121
689	0.08851569949
690	0.08850878945
691	0.08846653461
692	0.08843045916
693	0.08841931416
694	0.08836986887
695	0.0883444148
696	0.08832961528
697	0.08827776899
698	0.08827389721
699	0.08822798859
700	0.08819271873
701	0.08814908902
702	0.08811426494
703	0.0880908437
704	0.08805700711
705	0.08801781769
706	0.08798510817
707	0.08795839631
708	0.08792282575
709	0.08789587135
710	0.08784637558
711	0.08781307116
712	0.08777107845
713	0.08775855349
714	0.08773235208
715	0.08769559434
716	0.08766204784
717	0.08765070291
718	0.08763764525
719	0.08756762247
720	0.08751513258
721	0.08748282127
722	0.08743296948
723	0.08741689163
724	0.08741534367
725	0.0873771954
726	0.08732890279
727	0.08730175796
728	0.0872712126
729	0.08721720682
730	0.08720572294
731	0.08719523433
732	0.08718499862
733	0.08715157223
734	0.08711488687
735	0.08708480397
736	0.08708101786
737	0.08704426009
738	0.08699486477
739	0.08695460748
740	0.08691298514
741	0.08687652245
742	0.08683228635
743	0.08677332856
744	0.08675322773
745	0.0867116941
746	0.08670084322
747	0.08668397264
748	0.08664935856
749	0.08661628457
750	0.08656942593
751	0.08649627391
752	0.08644114454
753	0.08639083565
754	0.08634978073
755	0.08633829475
756	0.08628155062
757	0.0862578558
758	0.08625276989
759	0.08622465492
760	0.08621535041
761	0.0861637144
762	0.08613460436
763	0.0860676922
764	0.08606278236
765	0.08602821757
766	0.0860104278
767	0.08597980046
768	0.08595024027
769	0.08588532081
770	0.08587804431
771	0.08584161184
772	0.08584097188
773	0.08581045251
774	0.08579967287
775	0.08578454033
776	0.08577057518
777	0.08574574502
778	0.08571591954
779	0.08568416431
780	0.0856742587
781	0.08565254179
782	0.08565171908
783	0.08558379783
784	0.08554387338
785	0.08548332097
786	0.08546136073
787	0.08543292608
788	0.08540503277
789	0.08537512352
790	0.08534915064
791	0.08531620914
792	0.08528412943
793	0.08525794458
794	0.08522601322
795	0.08518029151
796	0.08517218173
797	0.0851298909
798	0.08512704117
799	0.085069103
