iter	Passed	Remaining
439	1369	1120
440	1373	1117
441	1376	1115
442	1380	1112
443	1383	1109
444	1387	1106
445	1390	1103
446	1393	1100
447	1397	1097
448	1401	1095
449	1404	1092
450	1407	1089
451	1410	1086
452	1414	1083
453	1417	1080
454	1421	1077
455	1424	1074
456	1427	1071
457	1431	1068
458	1434	1065
459	1437	1062
460	1441	1059
461	1444	1056
462	1448	1053
463	1451	1050
464	1454	1047
465	1458	1045
466	1461	1042
467	1464	1039
468	1467	1036
469	1471	1032
470	1474	1029
471	1477	1026
472	1481	1023
473	1484	1020
474	1487	1017
475	1490	1014
476	1493	1011
477	1496	1008
478	1499	1005
479	1503	1002
480	1506	999
481	1509	996
482	1513	993
483	1516	989
484	1519	986
485	1522	983
486	1525	980
487	1529	977
488	1532	974
489	1535	971
490	1538	968
491	1542	965
492	1545	962
493	1549	959
494	1552	956
495	1555	953
496	1559	950
497	1562	947
498	1565	944
499	1568	941
500	1571	937
501	1574	934
502	1577	931
503	1581	928
504	1584	925
505	1588	922
506	1591	919
507	1592	915
508	1595	912
509	1598	909
510	1601	905
511	1605	903
512	1608	900
513	1611	896
514	1615	893
515	1618	890
516	1621	887
517	1624	884
518	1627	881
519	1631	878
520	1634	875
521	1637	872
522	1640	869
523	1644	866
524	1647	862
525	1650	859
526	1654	856
527	1657	853
528	1660	850
529	1663	847
530	1666	844
531	1670	841
532	1674	838
533	1678	835
534	1681	832
535	1684	829
536	1687	826
537	1691	823
538	1695	820
539	1698	817
540	1701	814
541	1704	811
542	1707	808
543	1710	805
544	1714	802
545	1717	799
546	1721	796
547	1724	792
548	1727	789
549	1730	786
550	1734	783
551	1737	780
552	1740	777
553	1743	774
554	1747	771
555	1750	768
556	1753	765
557	1757	762
558	1760	758
559	1763	755
560	1765	752
561	1768	749
562	1771	745
563	1776	743
564	1779	740
565	1782	736
566	1785	733
567	1788	730
568	1791	727
569	1794	724
570	1797	721
571	1801	717
572	1804	714
573	1807	711
574	1810	708
575	1813	705
576	1816	702
577	1819	699
578	1823	695
579	1826	692
580	1829	689
581	1832	686
582	1835	683
583	1838	680
584	1841	676
585	1844	673
586	1848	670
587	1851	667
588	1854	664
589	1857	661
590	1860	658
591	1862	654
592	1865	651
593	1868	647
594	1871	644
595	1874	641
596	1876	638
597	1879	634
598	1882	631
599	1885	628
600	1888	625
601	1891	622
602	1895	619
603	1898	616
604	1901	612
605	1904	609
606	1908	606
607	1911	603
608	1914	600
609	1917	597
610	1920	593
611	1923	590
612	1925	587
613	1929	584
614	1932	581
615	1935	578
616	1939	575
617	1942	572
618	1945	568
619	1949	565
620	1952	562
621	1955	559
622	1958	556
623	1961	553
624	1964	550
625	1968	547
626	1971	543
627	1974	540
628	1977	537
629	1981	534
630	1984	531
631	1987	528
632	1990	525
633	1994	522
634	1997	519
635	2000	515
636	2003	512
637	2007	509
638	2022	509
639	2025	506
640	2029	503
641	2033	500
642	2035	497
643	2038	493
644	2041	490
645	2045	487
646	2048	484
647	2051	481
648	2054	477
649	2057	474
650	2060	471
651	2063	468
652	2066	465
653	2069	461
654	2072	458
655	2075	455
656	2078	452
657	2082	449
658	2085	446
659	2088	443
660	2091	439
661	2094	436
662	2097	433
663	2100	430
664	2103	426
665	2106	423
666	2109	420
667	2112	417
668	2115	414
669	2119	411
670	2122	408
671	2125	404
672	2129	401
673	2132	398
674	2135	395
675	2138	392
676	2142	389
677	2146	386
678	2149	383
679	2152	379
680	2155	376
681	2159	373
682	2163	370
683	2166	367
684	2171	364
685	2175	361
686	2179	358
687	2184	355
688	2189	352
689	2194	349
690	2202	347
691	2207	344
692	2214	341
693	2220	339
694	2224	336
695	2228	333
696	2232	329
697	2236	326
698	2239	323
699	2243	320
700	2246	317
701	2249	314
702	2253	310
703	2256	307
704	2259	304
705	2262	301
706	2266	298
707	2269	294
708	2272	291
709	2275	288
710	2278	285
711	2281	282
712	2284	278
713	2288	275
714	2291	272
715	2294	269
716	2297	265
717	2300	262
718	2304	259
719	2307	256
720	2310	253
721	2314	249
722	2317	246
723	2320	243
724	2323	240
725	2327	237
726	2330	234
727	2333	230
728	2336	227
729	2340	224
730	2343	221
731	2346	217
732	2349	214
733	2352	211
734	2355	208
735	2359	205
736	2362	201
737	2366	198
738	2369	195
739	2372	192
740	2375	189
741	2378	185
742	2382	182
743	2386	179
744	2389	176
745	2393	173
746	2397	170
747	2402	166
748	2405	163
749	2409	160
750	2412	157
751	2415	154
752	2419	151
753	2423	147
754	2426	144
755	2429	141
756	2433	138
757	2436	134
758	2439	131
759	2443	128
760	2446	125
761	2449	122
762	2453	118
763	2456	115
764	2459	112
765	2463	109
766	2466	106
767	2470	102
768	2473	99
769	2477	96
770	2480	93
771	2483	90
772	2486	86
773	2489	83
774	2493	80
775	2496	77
776	2500	74
