PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,Age,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
Single Family Res,0.27,RESIDENTIAL,C," $84,719.00 "," $611,994.00 ",2117.0,2117.0,2013.0,4.0,One Story,2.0,1.0,0.5,1.0,1.0,0.0,0.0,861.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,,630000.0,2024-08-27,0.0,Residential,21.0,630000.0,13.353475098367715,7.6577552711348655,28.055190538764784,0.328515111695138,3.383705650459921,626097.4383280412
Single Family Res,0.27,RESIDENTIAL,C," $84,719.00 "," $611,994.00 ",2117.0,2117.0,2013.0,4.0,One Story,2.0,1.0,0.5,1.0,1.0,0.0,0.0,861.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,,630000.0,2024-08-27,0.0,Land Sales,21.0,630000.0,13.353475098367715,7.6577552711348655,28.055190538764784,0.328515111695138,3.383705650459921,638506.0023966449
Single Family Res,0.23,RESIDENTIAL,C," $81,782.00 "," $439,270.00 ",1374.0,1337.0,2013.0,3.5,One Story,2.0,1.0,1.0,1.0,1.0,0.0,0.0,751.0,3.0,,,,,,,,,,,,,,,,,431500.0,2023-08-11,0.0,Residential,20.0,431500.0,12.97502278950562,7.2254814727822945,19.21813403416557,0.0,0.0,452924.5274000049
Single Family Res,0.23,RESIDENTIAL,C," $81,782.00 "," $439,270.00 ",1374.0,1337.0,2013.0,3.5,One Story,2.0,1.0,1.0,1.0,1.0,0.0,0.0,751.0,3.0,,,,,,,,,,,,,,,,,431500.0,2023-08-11,0.0,Land Sales,20.0,431500.0,12.97502278950562,7.2254814727822945,19.21813403416557,0.0,0.0,470445.1478505267
Single Family Res,0.27,RESIDENTIAL,C," $93,057.00 "," $531,818.00 ",1629.0,1211.0,2013.0,4.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,553.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,120.0,0.0,,490000.0,2023-04-04,0.0,Residential,21.0,490000.0,13.102160670086809,7.395721608602045,14.98028909329829,0.0,0.0,508787.9864552976
Single Family Res,0.27,RESIDENTIAL,C," $93,057.00 "," $531,818.00 ",1629.0,1211.0,2013.0,4.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,553.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,120.0,0.0,,490000.0,2023-04-04,0.0,Land Sales,21.0,490000.0,13.102160670086809,7.395721608602045,14.98028909329829,0.0,0.0,528682.859922641
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $489,656.00 ",1547.0,1489.0,2013.0,4.0,One Story,2.0,0.0,0.1,1.0,1.0,0.0,0.0,798.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,469900.0,2025-08-12,0.0,Residential,20.0,469900.0,13.060275185090907,7.344072850573066,28.055190538764784,0.328515111695138,14.88173455978975,469062.2518435469
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $489,656.00 ",1547.0,1489.0,2013.0,4.0,One Story,2.0,0.0,0.1,1.0,1.0,0.0,0.0,798.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,469900.0,2025-08-12,0.0,Land Sales,20.0,469900.0,13.060275185090907,7.344072850573066,28.055190538764784,0.328515111695138,14.88173455978975,471713.2142011906
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $592,774.00 ",1845.0,1947.0,2013.0,3.5,One Story,4.0,1.0,0.95,1.0,1.0,0.0,0.0,722.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,180.0,1.0,140.0,527000.0,2024-04-08,0.0,Residential,20.0,527000.0,13.1749558275235,7.520234556474628,27.135348226018397,0.0,0.0,564474.406387172
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $592,774.00 ",1845.0,1947.0,2013.0,3.5,One Story,4.0,1.0,0.95,1.0,1.0,0.0,0.0,722.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,180.0,1.0,140.0,527000.0,2024-04-08,0.0,Land Sales,20.0,527000.0,13.1749558275235,7.520234556474628,27.135348226018397,0.0,0.0,585868.359381426
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $412,724.00 ",1428.0,1410.0,2016.0,3.5,One Story,2.0,0.0,0.21,1.0,1.0,0.0,0.0,575.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,80.0,0.0,,505000.0,2023-08-01,0.0,Residential,15.0,505000.0,13.132313708257497,7.2640301428995295,18.889618922470433,0.0,0.0,529628.9861880447
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $412,724.00 ",1428.0,1410.0,2016.0,3.5,One Story,2.0,0.0,0.21,1.0,1.0,0.0,0.0,575.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,80.0,0.0,,505000.0,2023-08-01,0.0,Land Sales,15.0,505000.0,13.132313708257497,7.2640301428995295,18.889618922470433,0.0,0.0,550133.9956077369
Single Family Res,0.27,RESIDENTIAL,C," $93,057.00 "," $712,556.00 ",2043.0,2043.0,2020.0,4.0,One Story,3.0,1.0,1.0,1.0,1.0,0.0,0.0,805.0,3.0,,,,,,,,,,,,,,,,,645000.0,2025-10-31,0.0,Residential,6.0,645000.0,13.37700559577791,7.622174594817622,28.055190538764784,0.328515111695138,17.509855453350852,644502.2648943157
Single Family Res,0.27,RESIDENTIAL,C," $93,057.00 "," $712,556.00 ",2043.0,2043.0,2020.0,4.0,One Story,3.0,1.0,1.0,1.0,1.0,0.0,0.0,805.0,3.0,,,,,,,,,,,,,,,,,645000.0,2025-10-31,0.0,Residential,6.0,645000.0,13.37700559577791,7.622174594817622,28.055190538764784,0.328515111695138,17.509855453350852,644502.2648943157
Single Family Res,0.27,RESIDENTIAL,C," $93,057.00 "," $712,556.00 ",2043.0,2043.0,2020.0,4.0,One Story,3.0,1.0,1.0,1.0,1.0,0.0,0.0,805.0,3.0,,,,,,,,,,,,,,,,,645000.0,2025-10-31,0.0,Land Sales,6.0,645000.0,13.37700559577791,7.622174594817622,28.055190538764784,0.328515111695138,17.509855453350852,646075.5717574183
Single Family Res,0.27,RESIDENTIAL,C," $93,057.00 "," $712,556.00 ",2043.0,2043.0,2020.0,4.0,One Story,3.0,1.0,1.0,1.0,1.0,0.0,0.0,805.0,3.0,,,,,,,,,,,,,,,,,645000.0,2025-10-31,0.0,Land Sales,6.0,645000.0,13.37700559577791,7.622174594817622,28.055190538764784,0.328515111695138,17.509855453350852,646075.5717574183
