List Number,Sold Date,Sold Price,Basement SqFt,Year Built,Lot Acres,Total Bedrooms,Full Baths,Half Baths,Garage Type,Zoned,Subdivision,Parcel Number,Garage Capacity,Photo URL,Bsmt % Finish,Fireplaces2,Kitchens,Laundry,Concessions4,Road Condition,Accessability,Address,GLA,Adjusted SP
108976,6/18/2025,302000,973,1976,0.18,3,2,0,Carpor,R1,Northwood,B-0005-0001-0008,2,http://cdn.photos.sparkplatform.com/icb/20241030042219954015000000.jpg,1,1,1,1,0,Paved,,354 N 1500 W,1066,302000
111798,7/30/2025,403900,0,2020,0.41,3,2,0,Attach,Residential,Iron Mountain,A-0974-0139-0000,2,http://cdn.photos.sparkplatform.com/icb/20250613120050276733000000.jpg,0,0,1,1,11900,Paved,Year Round,4430 N Gold Dust Trail,1435,392000
109003,3/19/2025,0,405,2024,0.02,4,3,1,Attach,R3-M,Fiddlers Cove PUD,B-2041-0004-000D,2,http://cdn.photos.sparkplatform.com/icb/20241101162507552342000000.jpg,1,0,1,1,0,Paved,Year Round,665 E 2015 #4D N,1867,0
112114,9/19/2025,528315,1939,2025,0.24,3,2,0,Attach,Residential,Old Sorrel Ranch,B-1857-0027-0096,3,http://cdn.photos.sparkplatform.com/icb/20250705190749188271000000.jpg,0.1,0,1,1,0,Paved,Year Round,576 S Cedar Creek 96 Drive,1792,528315
103344,3/10/2025,139900,0,2019,0.03,1,1,0,Carpor,Res,Foothills RV Park,A-0504-0003-0003-06,1,http://cdn.photos.sparkplatform.com/icb/20230828210019241583000000.jpg,0,0,1,1,0,Paved,Year Round,306 Beth,451,139900
104305,5/28/2025,560000,1522,2016,0.43,5,3,0,Attach,R,Hawthorn Estates,A-0954-0019-0000,2,http://cdn.photos.sparkplatform.com/icb/20231007002844918651000000.jpg,1,0,1,1,0,Paved,,3367 Westward Avenue,1580,560000
104762,3/17/2025,715000,0,2006,0,3,3,0,Bsmt,R3,Lofts at Brianhead,A-1205-0007-000A,2,http://cdn.photos.sparkplatform.com/icb/20231124202836648534000000.jpg,0,1,1,1,0,Paved,,270 S Highway 143 #7A,2145,715000
104855,1/16/2025,687000,672,1998,0.47,3,3,0,Attach,Residential,Mountair Evergreen E,A-1138-0047-0000,1,http://cdn.photos.sparkplatform.com/icb/20231206214650282357000000.jpg,1,2,1,1,0,,Year Round,661 N Aspen Drive,1526,687000
104894,2/21/2025,0,2567,2005,0.34,7,6,0,Attach,Residential,Wild Flower,B-1746-0016-0000,3,http://cdn.photos.sparkplatform.com/icb/20231213182235745782000000.jpg,0.8,1,1,1,0,Paved,,578 S Josie Circle,3762,0
105307,2/14/2025,405000,1430,1999,0.24,5,3,0,Attach,Residential,Cove,B-1160-0004-0001,2,http://cdn.photos.sparkplatform.com/icb/20240806034917020622000000.jpg,1,1,1,1,1500,Paved,Year Round,2196 W Saddleback Drive,1430,403500
105392,1/31/2025,670000,0,2006,0,4,3,0,Attach,R3,White Bear Condos,A-1200-0AC4-0000,2,http://cdn.photos.sparkplatform.com/icb/20240529182332319691000000.jpg,0,1,1,1,0,Paved,,74 W Ridge View #ac4 Street,3048,670000
105394,2/7/2025,445500,0,2018,0.18,3,2,0,Attach,R-1,Crescent Hills,B-1999-0039-0000,3,http://cdn.photos.sparkplatform.com/icb/20240205235807175454000000.jpg,0,0,1,1,300,,Year Round,95 York N,1631,445200
112294,8/22/2025,339000,0,2006,0.11,3,2,1,Attach,R,Trailside,B-1873-0001-0000,2,http://cdn.photos.sparkplatform.com/icb/20250717171123103339000000.jpg,0,1,1,1,5000,,Year Round,7 E 820 S,1780,334000
105968,7/18/2025,379030,0,2008,0.1,2,2,0,Attach,R-1,Crescent Heights,B-1895-0007-0000,2,http://cdn.photos.sparkplatform.com/icb/20240910212221753438000000.jpg,0,1,1,1,0,Paved,,2405 W Crescent Heights Dr,1734,379030
106307,1/28/2025,465000,0,2024,1.23,4,2,0,Attach,R,Cedar Valley Acres,D-0456-1283-0000,3,http://cdn.photos.sparkplatform.com/icb/20241218172342196730000000.jpg,0,0,1,1,10000,Unimproved,Year Round,6388 N 3975 W,2990,455000
106502,4/7/2025,765000,1896,2024,0.56,4,2,1,Attach,Re,4 B Ranch,B-1894-0008-0000,3,http://cdn.photos.sparkplatform.com/icb/20241022171227417791000000.jpg,0.2,1,1,1,0,Paved,Year Round,1771 S 4150 W,1931,765000
106583,1/3/2025,397000,0,2024,0.27,3,2,0,Attach,R-1,Valley Gate Estates,A-0798-0037-0000,2,http://cdn.photos.sparkplatform.com/icb/20240731185729561472000000.jpg,0,0,1,1,0,Paved,Year Round,4898 N Winchester Drive,1432,397000
106618,5/5/2025,265000,0,2024,0.02,3,2,1,None,R3-M,Trailside,B-2040-0018-000F,0,http://cdn.photos.sparkplatform.com/icb/20240501175427667450000000.jpg,0,0,1,1,0,Paved,Year Round,920 S 25 #18F E,1242,265000
106623,5/16/2025,367000,0,2024,0.16,3,2,1,Attach,R-3,Iron West,B-2042-0011-000W,2,http://cdn.photos.sparkplatform.com/icb/20241022202921300904000000.jpg,0,0,1,1,0,Paved,,4519 W 300 N,1651,367000
106651,2/26/2025,1345600,1554,2008,0.39,4,3,0,Attach,R1,Trails @ Navajo,A-1184-0003-0000,4,http://cdn.photos.sparkplatform.com/icb/20240501202357804441000000.jpg,1,3,1,1,0,Paved,,427 W Hunter Ridge,2668,1345600
106748,1/9/2025,690000,1896,2023,0.5,4,3,0,Attach,R-1/2,Westview Estates,D-1213-000E-0009,3,http://cdn.photos.sparkplatform.com/icb/20240509160826032619000000.jpg,0.05,1,1,1,0,Paved,Year Round,1311 S 4175 W,3242,690000
